animename,genre
Classroom☆Crisis,"8,22,24,23,29"
Gakusen Toshi Asterisk,"1,4,10,22,24,9,35,23"
Saenai Heroine no Sodatekata ♭,"4,22,9,35,69,23"
Kanadian Families: Episode Zero,"4,36"
Gakkou no Kaidan: Kubinashi Rider!! Shi no Noroi,"14,7,37"
Boku dake ga Inai Machi,"7,37,41,40,78,42"
Persona 3 the Movie 4: Winter of Rebirth,"1,10,37"
Meiji x Kokosake & anohana Receipt Oubo Campaign,8
Owarimonogatari,"4,7,37,32"
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai,"22,23"
Yoku Wakaru Mahouka! - Saiseitte Nani?,4
High School Fleet,"1,38,23"
Charlotte: Tsuyoimono-tachi,"8,23,31"
Luger Code 1951,"1,10,27"
Granblue Fantasy The Animation,"1,2,10"
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!","4,8,7,50,39,48"
Persona 5 the Animation: The Day Breakers,"1,10,37"
3-gatsu no Lion,"8,53,11,42"
Rewrite,"1,4,22,37,23"
Nanatsu no Taizai: Seisen no Shirushi,"1,2,10,27"
Gakusen Toshi Asterisk 2nd Season,"1,4,10,22,24,9,35,23"
Magi: Sinbad no Bouken (TV),"1,2,10,27"
Kizumonogatari II: Nekketsu-hen,"1,7,37,32"
Kizumonogatari III: Reiketsu-hen,"1,7,37,32"
Sword Art Online Movie: Ordinal Scale,"1,2,10,79"
Kiznaiver,"8,22,24"
Kuroshitsuji Movie: Book of the Atlantic,"1,10,7,13,6,27"
"The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.","4,8,60,19"
Koyomimonogatari,"4,7,37"
Qualidea Code,"1,10,24,31"
D.Gray-man Hallow,"1,2,10,6,31,27"
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,"1,10,24"
Eromanga-sensei,"4,22,9,69"
Battery,"8,30,77"
Fune wo Amu,"46,8,22,50,48"
Kuzu no Honkai,"8,22,64,23,42"
Occultic;Nine,"7,24"
Natsume Yuujinchou Go,"36,37,63,6,25"
Katsugeki/Touken Ranbu,"1,10,51,13,21"
Ragnastrike Angels,1
Suki ni Naru Sono Shunkan wo. Kokuhaku Jikkou Iinkai,"4,8,22,23"
B-Project: Kodou*Ambitious,"61,19"
Fate/Extra: Last Encore,"1,10,37"
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"1,10,37"
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"1,10,37"
WWW.Working!!,"4,48"
"Kokoro ga Sakebitagatterunda. x Sony Hi-Res ""Walkman"" and Headphone",8
Kagerou Daze: In a Day's,"4,22,24,36,37"
Kubikiri Cycle: Aoiro Savant to Zaregotozukai,"8,7,37"
Ao no Exorcist: Kyoto Fujouou-hen,"1,10,6,23,27"
Demi-chan wa Kataritai,"4,10,6,23,32,42"
Tansa Quest!,"10,23"
Gintama.,"1,4,24,57,13,20,21,27"
Rewrite 2nd Season,"1,4,22,37"
Shelter (Music),"24,19"
"Chotto Ugoku!? ""Futeneko""","4,71"
Grancrest Senki,"1,8,10,22,38"
Fate/Grand Order: First Order,"1,10,37,78"
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?","22,24"
Inuyashiki,"1,8,24,41,58,40,42"
Dive!!,"8,30"
Koutetsujou no Kabaneri Movie 3: Unato Kessen,"1,10,14,41,58,13,76"
Shoukoku no Altair,"2,8,10,13,38,27"
Re:Creators,"1,10"
Boruto: Naruto Next Generations,"1,2,10,17,27"
Nanatsu no Taizai: Imashime no Fukkatsu,"1,2,10,27"
Natsume Yuujinchou Roku,"36,37,63,6,25"
Blend S,"4,69,74,48"
3-gatsu no Lion Recap,"8,53,11,42"
Fate/Apocrypha,"1,10,37"
The iDOLM@STER SideM,"61,19"
Jigoku Shoujo: Yoi no Togi,"14,7,37,40"
Koi wa Ameagari no You ni,"8,22,48,42"
Devilman: Crybaby,"1,5,14,37,58,6,27"
3-gatsu no Lion 2nd Season,"8,53,11,42"
Owarimonogatari 2nd Season,"4,7,37,32"
A-Channel: Nabe wo Tabeyou,"4,52,23"
